"participant","ResponseId","Finished","Duration (in seconds)","Q7","Q9","Q10","Q20","Q14","Q15","Q43"
"1","R_3n19VK5E9o0W9MV",TRUE,335,"2","2","stick with the first choice (door 1)",NA,"I was not familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"2","R_31h26iFeC2bQf7u",TRUE,234,NA,NA,NA,"stick with your first choice (door 1)","I was familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"3","R_1Isejl8od3Md5Xr",TRUE,374,NA,NA,NA,"stick with your first choice (door 1)","I was not familiar with this game","I did not already know what the correct answer should be","I did not arrive at the answer on my own"
"4","R_PA6uEP0rCOyPZu1",TRUE,478,NA,NA,NA,"stick with your first choice (door 1)","I was not familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"5","R_24hHqKFP6lEiShm",TRUE,498,"2","1","switch to the last remaining door",NA,"I was familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"6","R_297chnFbnZteDhu",TRUE,552,NA,NA,NA,"stick with your first choice (door 1)","I was not familiar with this game","I did not already know what the correct answer should be","I did not arrive at the answer on my own"
"7","R_3QRDvH171AMc6Q6",TRUE,438,NA,NA,NA,"switch to door 2","I was not familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"8","R_2S1x7VUsyJJImfr",TRUE,549,NA,NA,NA,"stick with your first choice (door 1)","I was not familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"9","R_1BWRYBowuRMjQMN",TRUE,462,"1","2","switch to the last remaining door",NA,"I was familiar with this game","I already knew what the correct answer should be","I did not arrive at the answer on my own"
"10","R_BVSOuI7HjKyeq7T",TRUE,671,"1","1","switch to the last remaining door",NA,"I was familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"11","R_3dEAwZs0KkwQKPR",TRUE,442,NA,NA,NA,"stick with your first choice (door 1)","I was familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"12","R_1erSjrSoVVINi3b",TRUE,767,NA,NA,NA,"switch to door 2","I was familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"13","R_1Cq0Mb7cz5cdxto",TRUE,707,"1","1","stick with the first choice (door 1)",NA,"I was familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"14","R_2zOwBri1SmIkpOO",TRUE,1221,"1","3","switch to the last remaining door",NA,"I was not familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
"15","R_1DuLtrL5RLS8dV0",TRUE,800,"1","1","stick with the first choice (door 1)",NA,"I was familiar with this game","I did not already know what the correct answer should be","I arrived at the answer on my own"
