,ResponseId,control,switch,correct_justification
1,R_3n19VK5E9o0W9MV,FALSE,FALSE,FALSE
2,R_PA6uEP0rCOyPZu1,TRUE,FALSE,FALSE
3,R_2S1x7VUsyJJImfr,TRUE,FALSE,FALSE
4,R_1qWXSQOFic8uj0h,FALSE,FALSE,FALSE
5,R_R4wAhOYhpNBXqkF,TRUE,FALSE,FALSE
6,R_xinMJKGpNf5M86Z,FALSE,FALSE,FALSE
7,R_2R92DFyrrPdByOE,FALSE,FALSE,FALSE
8,R_86SObFGZaqUTNC1,TRUE,FALSE,FALSE
9,R_1gdTPn9YVo2A0E9,FALSE,FALSE,FALSE
10,R_1im4WFWkXhUFcPQ,TRUE,FALSE,FALSE
11,R_wYJoTtgm9Mn3EWZ,TRUE,FALSE,FALSE
12,R_3sBKLNvdusSfkMd,FALSE,FALSE,FALSE
13,R_2CTdmifUz5xe9kc,TRUE,FALSE,FALSE
14,R_3dEzbcwMMkvUJhs,TRUE,FALSE,FALSE
15,R_2U3BnNLVoJXMRtV,TRUE,FALSE,FALSE
16,R_1GUhHYqbxHDErfy,TRUE,FALSE,FALSE
17,R_pgdm1askEf7Irol,TRUE,FALSE,FALSE
18,R_31tlZdypXmu4bVq,TRUE,FALSE,FALSE
19,R_3Jz07R1XA9QU7hp,FALSE,FALSE,FALSE
20,R_AGPqhQxDaNHnVMB,TRUE,FALSE,FALSE
21,R_12Pb5M2KFe2iEna,TRUE,FALSE,FALSE
22,R_2sc1G7EkrmJd4Uz,TRUE,FALSE,FALSE
23,R_bmaHAAzkR97H64V,TRUE,FALSE,FALSE
24,R_2c5VlfocV2ZTqmB,FALSE,FALSE,FALSE
25,R_296vEeP2OakhwJn,TRUE,FALSE,FALSE
26,R_2WJAdY75o4c3pfq,FALSE,FALSE,FALSE
27,R_2Cgh3qhDIGdtWC0,FALSE,FALSE,FALSE
28,R_3iXoKksfTvJFCUr,TRUE,FALSE,FALSE
29,R_1gUBGV9nxgm8VFC,TRUE,FALSE,FALSE
30,R_3P5NqSRlB6Nc5xT,FALSE,FALSE,FALSE
31,R_3sBVu5iYbRBoiYT,TRUE,FALSE,FALSE
32,R_vpPaEaHbPYHQDtf,FALSE,FALSE,FALSE
33,R_2VkX55z5m23cL6F,TRUE,FALSE,FALSE
34,R_5mOwzIjxaiWfsBP,FALSE,FALSE,FALSE
35,R_3ITadHmkr0kfIgj,TRUE,FALSE,FALSE
36,R_3CZMqGloqQfKt0e,FALSE,FALSE,FALSE
37,R_2viznSlPOYS5ynn,TRUE,FALSE,FALSE
38,R_1Qz7N0ysrQvloTH,TRUE,FALSE,FALSE
39,R_2VPZlDDuoN76eoI,TRUE,FALSE,FALSE
40,R_3mZTiw0l1ZlRwpn,TRUE,FALSE,FALSE
41,R_3jU05s5ab8k9nKJ,TRUE,FALSE,FALSE
42,R_DNShcOOn2zRHbEd,FALSE,FALSE,FALSE
43,R_vdbOdfg0jIue3YZ,FALSE,FALSE,FALSE
44,R_V56sxOvnSwJUBbP,TRUE,FALSE,FALSE
45,R_1Cw37YxVAJmhbjw,TRUE,FALSE,FALSE
46,R_2ZVwb7vFimZZmIb,TRUE,FALSE,FALSE
47,R_2qEgmWXLMAis6pE,FALSE,FALSE,FALSE
48,R_w4wyFlJedqtuGJj,FALSE,FALSE,FALSE
49,R_2wBRb2BNmeRLP1W,FALSE,FALSE,FALSE
50,R_322CGvrgcsBZvj4,FALSE,FALSE,FALSE
51,R_OkDEGYixIguCRep,TRUE,FALSE,FALSE
52,R_3eaVmfJ7ocHiUuN,FALSE,FALSE,FALSE
53,R_1Ny6rjl4dgJN73n,TRUE,FALSE,FALSE
54,R_1ClGLxJkPbBM0bn,TRUE,FALSE,FALSE
55,R_2fu4taUpLQR3voZ,TRUE,FALSE,FALSE
56,R_3QRDvH171AMc6Q6,TRUE,TRUE,FALSE
57,R_2zOwBri1SmIkpOO,FALSE,TRUE,FALSE
58,R_3fepKxYWv6qTqZd,TRUE,TRUE,FALSE
59,R_2WS9I7SiHtkRxDi,FALSE,TRUE,FALSE
60,R_3EbQTFh63jqRFi4,TRUE,TRUE,FALSE
61,R_1mIepH58WE3buFz,FALSE,TRUE,FALSE
62,R_3PRYWMNL19sbH6Z,FALSE,TRUE,FALSE
63,R_7PbiUD08nxwLtwB,FALSE,TRUE,TRUE
64,R_RKYmlweF1MP7LcB,FALSE,TRUE,TRUE
65,R_2zC4WXt1wSD3mYq,FALSE,TRUE,TRUE
66,R_XoavtjrVfz9bsZP,FALSE,TRUE,FALSE
67,R_3Gv155gMCo0iBP3,TRUE,TRUE,FALSE
68,R_2xXzD0MzXBtfaka,TRUE,TRUE,TRUE
69,R_2ANAgtvoEuEE8ud,FALSE,TRUE,TRUE
70,R_BQFaf10uuXXvDgJ,FALSE,TRUE,FALSE
71,R_Z3likiB5WFjVhZL,FALSE,TRUE,TRUE
72,R_V2WSXEP16rf7I65,FALSE,TRUE,FALSE
73,R_24q840BNabs3nFt,FALSE,TRUE,TRUE
74,R_3KE1Pdng5LZklPL,FALSE,TRUE,FALSE
75,R_3lKSLab2g0dli3G,TRUE,TRUE,FALSE
